LAT,LON,EMP_WAC,POP10
37.7494,-122.4053,0,0
37.7486,-122.4073,0,9
37.7484,-122.4083,1,0
37.7389,-122.4078,3,0
37.7456,-122.3871,2,0
37.7420,-122.3800,0,0
37.7335,-122.3856,0,49
37.7330,-122.3855,3,0
37.7398,-122.3828,32,0
37.7407,-122.3886,1,0
37.7391,-122.3892,0,0
37.7929,-122.4203,42,340
37.7898,-122.4231,381,0
37.8081,-122.4113,21,1
37.8078,-122.4149,354,1
37.7984,-122.4194,21,85
37.7988,-122.4164,85,168
37.7970,-122.4178,4,290
37.7981,-122.4080,463,727
37.8064,-122.4112,33,389
37.8045,-122.4109,0,61
37.7334,-122.4310,0,21
37.7370,-122.4263,0,18
37.7340,-122.4271,37,83
37.7442,-122.4256,26,176
37.7434,-122.4255,13,168
37.7435,-122.4236,16,169
37.7441,-122.4201,171,459
37.7363,-122.4239,20,63
37.7333,-122.4229,1,54
37.7388,-122.4196,9,147
37.7267,-122.4700,0,32
37.7207,-122.4676,1,145
37.7269,-122.4631,36,153
37.7158,-122.4043,1,242
37.7137,-122.4104,23,202
37.7132,-122.4083,11,226
37.7113,-122.4105,4,249
37.7100,-122.4060,4,184
37.7325,-122.4063,2,32
37.7269,-122.4038,32,241
37.7245,-122.4029,12,174
37.7221,-122.4019,3,233
37.7343,-122.4857,0,0
37.7346,-122.4761,0,0
37.7306,-122.4724,14,37
37.7384,-122.4753,3,9
37.7329,-122.4714,0,0
37.7330,-122.4730,29,55
37.7304,-122.4582,0,0
37.7331,-122.4674,1,0
37.7357,-122.4645,0,0
37.7395,-122.4657,12,0
37.7423,-122.4500,0,0
37.7395,-122.4513,6,177
37.7391,-122.4547,13,230
37.7472,-122.4602,38,165
37.7457,-122.4564,4,78
37.7442,-122.4578,0,0
37.7490,-122.4634,1,66
37.8054,-122.4079,185,410
37.8010,-122.4111,26,2
37.8024,-122.4051,4,67
37.8023,-122.4081,10,27
37.8002,-122.4071,85,199
37.7942,-122.4172,21,395
37.7913,-122.4183,44,525
37.7962,-122.4142,11,188
37.7931,-122.4136,20,180
37.7910,-122.4132,80,367
37.7876,-122.4192,38,12
37.7848,-122.4170,102,936
37.7308,-122.4577,0,0
37.7285,-122.4587,3,69
37.7267,-122.4587,0,81
37.7191,-122.4625,5,44
37.7267,-122.4578,5,81
37.7240,-122.4587,12,98
37.7170,-122.4703,0,110
37.7170,-122.4685,2,145
37.7154,-122.4702,4,77
37.7170,-122.4649,9,147
37.7100,-122.4704,0,0
37.7090,-122.4631,3,188
37.7191,-122.4577,7,160
37.7110,-122.4591,6,254
37.7119,-122.4575,16,271
37.7136,-122.4575,15,286
37.7137,-122.4544,22,215
37.7103,-122.4559,1,4
37.7188,-122.4055,7,115
37.7185,-122.4006,0,118
37.7114,-122.4005,2,102
37.7172,-122.3993,0,0
37.7180,-122.3987,0,0
37.7113,-122.3961,3,9
37.7193,-122.3942,2,197
37.7310,-122.3865,4,166
37.7296,-122.3923,4,4
37.7260,-122.3910,124,0
37.7285,-122.3888,8,195
37.7231,-122.3908,67,0
37.7389,-122.4080,2,0
37.7383,-122.4012,1,0
37.7128,-122.4720,1,0
37.7930,-122.4124,95,170
37.7953,-122.4086,161,252
37.7954,-122.4078,192,765
37.7884,-122.4110,888,143
37.7845,-122.4119,226,745
37.7896,-122.4095,531,304
37.7908,-122.4076,34,356
